bruto,liquido
760,676.4
761,677.29
762,678.18
763,678.5933849999999
764,679.0048850000001
765,679.416385
766,679.8278849999999
767,680.239385
768,680.650885
769,681.062385
770,681.4738849999999
771,681.885385
772,682.296885
773,682.708385
774,683.119885
775,683.531385
776,683.9428849999999
777,684.354385
778,684.7658849999999
779,685.177385
780,685.588885
781,686.000385
782,686.411885
783,686.8233849999999
784,687.234885
785,687.646385
786,688.0578849999999
787,688.4693849999999
788,688.8808849999999
789,689.292385
790,689.703885
791,690.115385
792,690.526885
793,690.9383849999999
794,691.349885
795,691.7613849999999
796,692.1728850000001
797,692.584385
798,692.995885
799,693.407385
800,693.818885
801,694.230385
802,694.641885
803,695.0533849999999
804,695.4648849999999
805,695.876385
806,696.287885
807,696.699385
808,697.1108849999999
809,697.522385
810,697.9338849999999
811,698.345385
812,698.7568849999999
813,699.168385
814,699.579885
815,699.991385
816,700.402885
817,700.814385
818,701.225885
819,701.637385
820,702.0488849999999
821,702.4603850000001
822,702.871885
823,703.283385
824,703.694885
825,704.106385
826,704.517885
827,704.9293849999999
828,705.340885
829,705.7523849999999
830,706.163885
831,706.575385
832,706.986885
833,707.398385
834,707.809885
835,708.2213849999999
836,708.632885
837,709.0443849999999
838,709.455885
839,709.867385
840,710.278885
841,710.690385
842,711.101885
843,711.513385
844,711.9248849999999
845,712.336385
846,712.747885
847,713.159385
848,713.570885
849,713.982385
850,714.393885
851,714.805385
852,715.2168849999999
853,715.628385
854,716.0398849999999
855,716.4513850000001
856,716.862885
857,717.274385
858,717.685885
859,718.097385
860,718.508885
861,718.9203849999999
862,719.3318849999999
863,719.7433849999999
864,720.154885
865,720.566385
866,720.977885
867,721.389385
868,721.800885
869,722.2123849999999
870,722.623885
871,723.035385
872,723.4468850000001
873,723.858385
874,724.269885
875,724.681385
876,725.092885
877,725.504385
878,725.9158849999999
879,726.3273849999999
880,726.738885
881,727.150385
882,727.561885
883,727.973385
884,728.3848849999999
885,728.796385
886,729.2078849999999
887,729.61906
888,730.0260599999999
889,730.4330600000001
890,730.84006
891,731.24706
892,731.6540600000001
893,732.06106
894,732.46806
895,732.87506
896,733.2820600000001
897,733.68906
898,734.0960600000001
899,734.50306
900,734.91006
901,735.3170600000001
902,735.72406
903,736.1310599999999
904,736.53806
905,736.9450600000001
906,737.35206
907,737.7590600000001
908,738.16606
909,738.57306
910,738.98006
911,739.38706
912,739.79406
913,740.20106
914,740.60806
915,741.0150600000001
916,741.4220600000001
917,741.82906
918,742.23606
919,742.64306
920,743.05006
921,743.4570600000001
922,743.8640600000001
923,744.27106
924,744.6780600000001
925,745.08506
926,745.49206
927,745.89906
928,746.30606
929,746.7130599999999
930,747.1200600000001
931,747.5270600000001
932,747.93406
933,748.58
934,749.26
935,749.9399999999999
936,750.62
937,751.3
938,751.9799999999999
939,752.6600000000001
940,753.34
941,754.02
942,754.7
943,755.38
944,756.06
945,756.74
946,757.4200000000001
947,758.1
948,758.7800000000001
949,759.46
950,760.14
951,760.82
952,761.5
953,762.18
954,762.8599999999999
955,763.5400000000001
956,764.22
957,764.9
958,765.58
959,766.26
960,766.9399999999999
961,767.62
962,768.3
963,768.9799999999999
964,769.6600000000001
965,770.34
966,771.02
967,771.7
968,772.38
969,773.06
970,773.74
971,774.4200000000001
972,775.1
973,775.7800000000001
974,776.46
975,777.14
976,777.82
977,778.5
978,779.18
979,779.8599999999999
980,780.5400000000001
981,781.22
982,781.9
983,782.58
984,783.26
985,783.9399999999999
986,784.62
987,785.3
988,785.9799999999999
989,786.6600000000001
990,787.34
991,788.02
992,788.7
993,789.38
994,790.06
995,790.74
996,791.4200000000001
997,792.1
998,792.7800000000001
999,793.46
1000,794.09
1001,794.715
1002,795.3399999999999
1003,795.9649999999999
1004,796.5899999999999
1005,797.215
1006,797.84
1007,798.465
1008,799.09
1009,799.715
1010,800.3399999999999
1011,800.9649999999999
1012,801.5899999999999
1013,802.2149999999999
1014,802.84
1015,803.465
1016,804.09
1017,804.715
1018,805.3399999999999
1019,805.9649999999999
1020,806.5899999999999
1021,807.215
1022,807.84
1023,808.465
1024,809.09
1025,809.715
1026,810.34
1027,810.9649999999999
1028,811.5899999999999
1029,812.2149999999999
1030,812.84
1031,813.465
1032,814.09
1033,814.715
1034,815.34
1035,815.9649999999999
1036,816.5899999999999
1037,817.2149999999999
1038,817.8399999999999
1039,818.465
1040,819.09
1041,819.715
1042,820.34
1043,820.9649999999999
1044,821.5899999999999
1045,822.2149999999999
1046,822.84
1047,823.465
1048,824.09
1049,824.715
1050,825.34
1051,825.965
1052,826.5899999999999
1053,827.2149999999999
1054,827.8399999999999
1055,828.465
1056,829.09
1057,829.715
1058,830.34
1059,830.965
1060,831.5899999999999
1061,832.2149999999999
1062,832.8399999999999
1063,833.4649999999999
1064,834.09
1065,834.715
1066,835.34
1067,835.965
1068,836.5899999999999
1069,837.2149999999999
1070,837.8399999999999
1071,838.465
1072,839.09
1073,839.715
1074,840.34
1075,840.965
1076,841.59
1077,842.2149999999999
1078,842.8399999999999
1079,843.4649999999999
1080,844.09
1081,844.715
1082,845.34
1083,845.965
1084,846.59
1085,847.2149999999999
1086,847.8399999999999
1087,848.4649999999999
1088,849.0899999999999
1089,849.715
1090,850.34
1091,850.965
1092,851.59
1093,852.2149999999999
1094,852.8399999999999
1095,853.4649999999999
1096,854.09
1097,854.715
1098,855.34
1099,855.965
1100,856.59
1101,857.215
1102,857.8399999999999
1103,858.4649999999999
1104,859.0899999999999
1105,859.715
1106,860.34
1107,860.965
1108,861.57
1109,862.175
1110,862.78
1111,863.385
1112,863.99
1113,864.5949999999999
1114,865.2
1115,865.8050000000001
1116,866.4100000000001
1117,867.015
1118,867.62
1119,868.225
1120,868.8299999999999
1121,869.4350000000001
1122,870.0400000000001
1123,870.6450000000001
1124,871.25
1125,871.855
1126,872.46
1127,873.0649999999999
1128,873.67
1129,874.275
1130,874.8800000000001
1131,875.485
1132,876.09
1133,876.695
1134,877.3
1135,877.905
1136,878.51
1137,879.115
1138,879.7199999999999
1139,880.325
1140,880.9300000000001
1141,881.5350000000001
1142,882.14
1143,882.745
1144,883.35
1145,883.9549999999999
1146,884.5600000000001
1147,885.1650000000001
1148,885.7700000000001
1149,886.375
1150,886.98
1151,887.5850000000002
1152,888.1899999999999
1153,888.7950000000001
1154,889.4
1155,890.0050000000001
1156,890.6099999999999
1157,891.215
1158,891.8199999999999
1159,892.425
1160,893.0300000000001
1161,893.635
1162,894.2400000000001
1163,894.8449999999999
1164,895.45
1165,896.055
1166,896.6600000000001
1167,897.2650000000001
1168,897.87
1169,898.4750000000001
1170,899.0799999999999
1171,899.6850000000001
1172,900.29
1173,900.8950000000001
1174,901.4999999999999
1175,902.105
1176,902.7099999999999
1177,903.3149999999999
1178,903.9200000000001
1179,904.525
1180,905.1300000000001
1181,905.7349999999999
1182,906.34
1183,906.9449999999999
1184,907.55
1185,908.1550000000001
1186,908.76
1187,909.3650000000001
1188,909.9699999999999
1189,910.575
1190,911.18
1191,911.7850000000001
1192,912.3900000000001
